#standard;standard_file.txt
#visibility;true
3132;2504;633;2624;865;2600;3669;3531;1077;2878;3198;2066;1755;486;439;1029
597;123;2732;1266;3079;86;2316;1623;1836;2238;3364;339;320;2375;2493;29
2550;3727;1374;2484;2865;1111;2563;3849;318;871;194;1701;737;493;936;233
3491;3053;3354;2405;727;3383;3935;1991;1632;2819;1262;2916;195;1057;3893;689
3948;211;3017;3707;1696;2367;2864;1;3378;3302;3176;554;2684;810;756;2960
2967;3412;1678;33;3431;3864;3166;1440;2804;1179;2372;990;2130;3214;3048;949
1737;3714;3842;1044;467;3191;642;2450;1228;2759;1088;2083;3775;2684;577;3067
3791;1470;3867;2744;909;3945;1135;2983;3124;353;3010;1649;2072;633;3035;1214
3358;3837;905;2587;3796;1867;3203;1622;1246;1175;3890;2814;338;94;302;3060
3287;412;3381;1913;299;1599;58;76;855;343;1682;1973;1174;2447;1345;2840
3114;2473;3436;585;1186;436;1457;3910;2615;613;58;308;3669;1110;469;2210
3647;3386;2038;2402;3680;1409;2628;1950;2551;3199;3268;1888;3281;2774;777;268
1497;2807;2474;3982;3208;2594;2450;142;3944;1774;2529;1909;3553;655;3926;1216
2835;1306;980;3392;3394;1867;2099;3471;3387;1355;1410;2951;2214;2740;1272;3123
1830;831;2831;3875;2300;2171;1897;1565;631;3798;1706;389;1215;2192;260;1372
1129;3450;3235;1544;3288;1739;2730;3612;3520;2041;3314;2234;3616;3265;464;151
2058;1623;1493;1483;2150;3666;1024;3984;656;2366;1192;3917;1825;1431;2480;1003
2847;140;2677;2148;218;575;1428;1598;890;2844;2728;1626;221;2306;3423;2448
712;2685;2116;3308;980;1270;641;1199;3513;1508;731;1711;1778;3874;3951;3585
1893;430;1622;2314;3039;1640;3231;3789;2252;3706;211;1022;1946;3044;1292;465
1096;1276;2817;486;2569;752;535;1232;209;3784;3892;2985;1531;1333;92;2630
1327;3021;1529;3310;582;3809;3070;2582;1887;40;3770;3843;1267;599;354;2233
3019;335;954;3545;1211;805;1070;3705;1452;448;1567;3645;1878;1432;1106;3178
1998;1793;168;1118;3810;3806;3309;3526;2133;1816;44;2040;488;1504;2748;2467
2025;2725;3525;2742;2089;1204;267;35;3798;1438;384;1671;827;2805;1465;1022
3271;601;2741;3217;2096;96;2423;437;367;1694;477;2044;1744;566;3986;2297
1790;403;2563;731;627;3786;3270;793;825;1922;3008;252;999;707;92;2579
1746;2798;319;3146;3264;3508;735;1420;502;3349;780;1525;2063;898;1732;2675
1835;436;2103;181;3462;3685;146;1250;57;768;237;545;3620;3800;939;457
1233;1511;1713;3565;2181;1357;3719;3005;1649;719;695;3120;650;3965;1105;3769
1272;1726;3725;68;2833;3319;459;1121;563;2492;1963;45;3968;2436;3849;1010
2384;3442;1957;2267;3236;939;1903;783;1295;1245;3762;625;781;2955;1338;3981
3468;848;14;2626;2504;2150;2035;3771;197;297;2488;306;3051;1109;404;1848
157;390;2148;972;343;1532;1982;3109;3489;960;909;1166;2480;3269;320;401
3070;3015;374;3161;1997;1856;294;1577;2457;1435;1599;1618;1350;1186;1857;1108
651;3888;3061;317;3427;2204;1704;1967;265;3684;1416;3516;945;251;279;908
3799;2642;1555;1621;1617;2459;1079;1916;2998;3576;1863;2333;2624;2773;3798;3520
3466;1215;2161;3696;2926;1173;2656;1726;1773;2171;3245;2779;2127;2285;3647;2163
3526;797;2506;2044;2342;3532;3289;1887;663;1320;702;556;1565;2623;284;2003
3604;1919;354;1727;2859;1387;1224;2533;2218;1370;433;1442;3930;3409;766;999
2655;1886;1562;1705;20;1905;1403;2752;1816;494;2885;2996;1705;3707;679;2616
1000;638;907;2542;3422;1781;2460;3549;1788;1262;3020;2470;2722;3600;367;2512
1153;1208;248;1840;207;2864;957;942;3870;419;918;705;3963;3699;543;3162
939;1526;2043;3210;1239;226;3756;3606;848;2005;3205;1835;3623;1345;144;3729
650;2228;759;368;2066;338;636;3500;3541;3128;1817;685;66;330;2508;3692
506;3396;1054;3880;2610;3744;3486;1197;3482;2956;1869;3270;343;103;2712;1414
1330;533;1711;639;3985;124;3161;646;1946;3951;723;1301;1149;2001;2322;2785
3649;2528;1216;3639;2153;2451;117;787;181;1003;516;3660;1579;1135;3175;538
3459;1784;2199;3351;2442;825;2324;2212;1053;1965;843;3345;3361;3977;1221;1062
2126;376;2354;3582;3694;2191;2907;715;481;84;2344;3537;1083;2878;2751;3642
2912;3948;3746;2144;1735;3994;1990;2130;1162;1456;3851;2507;834;1870;3512;398
125;672;1213;2175;2818;3575;2547;2337;1516;2003;85;2719;801;1456;2865;1870
1040;3299;1247;2056;2173;1841;2632;816;1002;1727;827;2329;550;1138;3810;2501
1623;1151;2267;1520;177;116;504;2695;4;2224;2964;1535;103;3778;1601;2734
726;2417;2707;490;1052;3638;468;3009;2473;2199;3745;3122;1743;647;607;1527
415;3215;1932;1355;1352;2848;1884;1955;1775;3514;1032;3181;2748;2251;3315;1930
3479;193;2471;3052;3304;775;1183;3495;3087;2012;891;2866;109;3543;1007;2632
1524;3894;1876;844;181;2342;1579;3807;477;837;3053;3836;862;2195;2731;3479
501;1111;2603;222;3850;1617;1715;1021;263;3967;3754;1672;662;3573;1343;852
1569;1752;2346;2969;1766;1800;106;3963;885;928;600;2759;1840;3004;3035;308
2833;2289;302;2206;36;2284;1290;2237;1049;1405;261;326;2705;153;1236;20
2355;983;859;2856;3092;274;3949;2043;2444;609;1846;1386;696;473;465;3459
3873;1824;3390;3884;2969;3222;3459;3074;2085;3166;2008;2451;1626;2938;84;3615
520;1905;3976;2652;3541;3445;3889;3435;3049;196;284;2725;2564;1293;3200;1616
3184;1322;3210;3615;2477;384;876;2998;2020;2236;2332;2929;131;2399;523;1040
2008;1720;1986;3907;203;3261;2235;2344;1295;78;1768;630;3717;912;3946;2326
549;40;2513;416;3225;1908;456;3324;2607;721;1689;3808;1152;614;348;3461
2609;3105;531;1858;1677;2115;999;2534;977;1835;2781;1179;2972;1580;2573;983
2219;1375;3722;1350;487;1239;1149;1067;3700;1424;2600;2316;2618;3926;2685;3794
3342;3055;2838;3851;2113;3231;1276;271;70;2020;3380;2732;1420;2709;1916;2465
663;3004;2112;736;676;243;3348;24;3321;723;3096;1713;1352;352;1632;2252
3608;3355;1258;1630;3778;658;1374;2290;869;1070;3971;3455;3665;1383;2760;3402
2678;3912;1424;1596;1568;1376;2413;565;309;1175;1665;2537;1805;3437;1639;971
1185;1147;356;731;927;813;3229;3606;346;1786;1517;860;915;647;1098;1078
3940;1936;348;3442;358;3598;2170;2283;2660;9;1528;2759;3861;2612;1900;149
574;1975;3893;3892;2213;3950;2305;1922;620;3642;2919;3893;3028;2298;2882;3868
2369;1401;581;1721;3786;1416;756;2186;1737;1099;2716;2673;170;850;1993;2862
3813;3567;1183;701;2426;2255;1575;1342;1749;3501;3708;1538;626;3800;382;3725
1911;3751;2260;1;1124;3324;970;1538;3914;2252;3603;1584;1362;3161;3367;1788
3772;1415;2914;3907;3953;555;3347;3379;2257;112;3339;1127;2946;1545;1030;3789
2400;50;3145;985;510;988;2091;18;1358;858;541;310;3149;1612;325;753
279;658;2977;973;2559;1888;1202;1583;757;2567;2754;1225;1350;2937;160;1646
109;3699;2234;1524;2796;2657;72;2525;3886;511;2575;1038;2113;1789;2664;1785
1901;1448;199;2466;1234;1215;1919;732;3646;2713;2085;376;3010;3102;2717;806
724;2342;1577;1555;545;3670;3683;585;686;3509;1964;264;2012;1296;866;84
3718;1019;495;1539;3073;1012;3880;2088;2321;3140;224;3296;553;497;3860;1086
2399;3695;2801;2085;3040;410;3454;24;1585;2043;3471;2754;1648;3493;2767;1230
3131;1186;1488;2316;42;3215;1519;481;1411;2968;1020;2946;42;2852;720;3065
2605;1233;3030;2876;2422;44;3890;2042;1784;1367;3701;3131;3302;886;762;61
1075;2740;1192;2402;3939;987;3769;288;3058;3902;3393;2780;3825;2670;219;1105
3729;3266;2226;442;1609;1453;89;3758;3828;1820;1251;3900;282;2133;3216;298
208;605;1459;3895;2481;2693;3969;3103;2183;361;851;3262;859;2852;949;2512
3393;2677;1379;2617;2163;496;2618;3591;957;1566;880;1121;551;510;3762;661
2154;479;3115;1577;2677;3489;1365;3919;1646;2360;2161;3193;3840;2986;423;614
3322;873;3563;1024;824;3219;829;2331;3021;3547;287;3791;2547;1170;2095;3620
23;328;2862;3389;2393;2893;3965;722;3899;3032;2469;1207;2015;466;3547;3864
488;3732;1609;3445;1172;3077;1422;622;347;2054;186;3637;1152;1206;1766;1028
1763;3430;2543;3255;3690;468;2086;3068;2012;1724;3518;3387;2758;2658;31;2810
1802;3088;1752;3580;1995;2355;3817;2975;1682;3000;1018;2417;2226;932;110;1100
1322;1262;871;2095;1561;1242;1934;3154;3807;3700;3759;497;2701;2377;1062;3750
474;2750;2057;1046;2104;1482;1123;1914;1251;1429;3205;3051;23;3225;1716;1874
17;2038;2123;3766;2082;489;485;558;32;1313;2268;2287;1595;3250;2240;2879
1588;2838;1926;460;3495;811;2905;364;3306;2395;707;307;1394;817;3160;1172
2327;2722;2557;1240;3177;559;3539;1716;1242;1186;2379;2442;962;2121;2769;3672
3913;1058;920;186;1014;1026;3629;348;173;3567;3808;1183;549;275;3751;73
1689;2934;1914;591;3505;674;433;1206;1580;3254;10;2142;923;3858;647;2682
